datapoint_id,misogynistic_text,neutral_text,severity,rewrite_severity,biasly_categories,canonical_categories,rationale
6e5dcbe0-5558-4b4f-b16a-c813f2062c9e,"Men love this. Okay. Yeah, I need to report two suspicious women on my property.","People love this. Okay. Yeah, I need to report two suspicious women on my property.",47.0,0.0,gender_essentialism,traditional_gender_roles,
d3495d88-6378-4801-a488-3d5ece89bb6c,"He even bought me this dress, just like "" Pretty Woman. "" Right. Ahem. She looks good in red.","He even bought me this dress, just like "" Pretty Woman. "" Right. Ahem. It's a beautiful dress.",113.0,0.0,sexualization,sexual_objectification,
d3495d88-6378-4801-a488-3d5ece89bb6c,"He even bought me this dress, just like "" Pretty Woman. "" Right. Ahem. She looks good in red.","He even bought me this dress, just like "" Pretty Woman. "" Right. Ahem. I like when she wears red.",357.0,0.0,sexualization,sexual_objectification,
3de0e31f-36ba-4b0b-91ee-d620785bd1d9,She was a fine old woman. She will be buried here. Out there next to your father and your brother.,She was a nice person. She will be buried here. Out there next to your father and your brother.,103.0,0.0,gender_essentialism,traditional_gender_roles,"""fine woman"" implies there is are specific acceptable ways to be a woman"
3de0e31f-36ba-4b0b-91ee-d620785bd1d9,She was a fine old woman. She will be buried here. Out there next to your father and your brother.,She was a kind old woman. She will be buried here. Out there next to your father and your brother.,370.0,0.0,gender_essentialism,traditional_gender_roles,
40414b86-54a3-4463-85cf-94d4d80a2638,"I actually talked to Alejandra so she's gonna be there and she's back with Manuel and I know I shouldn't be upset, but I don't understand why she's with someone that treats her like shit, you know? And I was just trying to talk to her and I feel like such a mom and I'm just like, I don't know, anyway, whatever. We shouldn't be thinking about that.","I actually talked to Alejandra so she's gonna be there and she's back with Manuel and I know I shouldn't be upset, but I don't understand why she's with someone that treats her like shit, you know? And I was just trying to talk to her and I feel like such a parent and I'm just like, I don't know, anyway, whatever. We shouldn't be thinking about that.",466.0,0.0,gender_essentialism,traditional_gender_roles,
40352eaf-6b38-4021-87b6-65a40adfeeeb,"Hey, what do you think those guys want with Teresa? Now, if there's one thing I know about that girl, she can take care of herself. Don't worry about it.","Hey, what do you think those guys want from Teresa? Now, if there's one thing I know about that woman, she can take care of herself. Don't worry about it.",127.0,37.0,trivialization,assumptions_of_inferiority,
8e611e7e-7f97-4d89-a889-94074e6df444,"When he dismissed her again... the old woman's outward appearance melted away. To reveal... a beautiful enchantress. The prince begged for forgiveness, but it was too late.","When he dismissed her again... the old woman's outward appearance melted away. To reveal... an enchantress. The prince begged for forgiveness, but it was too late.",315.0,0.0,gender_essentialism,traditional_gender_roles,The sentence plays into the cliche of old women being ugly and valorizing youth as beautiful.
3b50df26-ec5e-42c3-b690-c183f6e332ff,"We passed her mama around like a baton, man. Yeah. You never told me that about your mother.","We all slept with her mama, man. Yeah. You never told me that about your mother.",824.0,452.0,dehumanization|sexualization,sexual_objectification|use_of_sexist_language,
3b50df26-ec5e-42c3-b690-c183f6e332ff,"We passed her mama around like a baton, man. Yeah. You never told me that about your mother.","We all slept with her mama, man. Yeah. You never told me that about your mother.",225.0,83.0,dehumanization,use_of_sexist_language,
3b50df26-ec5e-42c3-b690-c183f6e332ff,"We passed her mama around like a baton, man. Yeah. You never told me that about your mother.","We passed her mama around, man. Yeah. You never told me that about your mother.",613.0,496.0,dehumanization|lacking_autonomy,second_class_citizenship|use_of_sexist_language,
005fb3f3-295a-4648-a2c8-72f0543f1f5e,? Fixed Synced by bozxphd. Enjoy The Flick? You are an amazingly talented woman.,? Fixed Synced by bozxphd. Enjoy The Flick? You are amazingly talented.,70.0,0.0,gender_essentialism|trivialization,assumptions_of_inferiority|traditional_gender_roles,"The caveat of ""talented woman"" implies that it is not the norm for women to be talented "
5c9027dc-a86a-46a5-ae04-470e89c5d3aa,"Not that many worth knowing if you ask my opinion. Especially not that one. I mean, just look how she dresses.",Not that many worth knowing if you ask my opinion. Especially not her.,142.0,20.0,gender_essentialism|sexualization,sexual_objectification|traditional_gender_roles,
0b62bfe7-cc0f-4802-ad5a-f57e20fdebd0,"Well, I think I was a bit different when I was here, unfocussed. I don't really think I was at my best in Chicago. I'll bet she's hot, if I know you.","Well, I think I was a bit different when I was here, unfocussed. I don't really think I was at my best in Chicago. I'll bet she's beautiful.",237.0,171.0,sexualization,sexual_objectification,
0b62bfe7-cc0f-4802-ad5a-f57e20fdebd0,"Well, I think I was a bit different when I was here, unfocussed. I don't really think I was at my best in Chicago. I'll bet she's hot, if I know you.","Well, I think I was a bit different when I was here, unfocussed. I don't really think I was at my best in Chicago. I'll bet she's great, if I know you.",86.0,14.0,sexualization,sexual_objectification,
6337e09f-783f-4b39-8b4b-c5797f3aa20b,"It's all right, you're with me. Elaine. No woman has ever given herself like that to me before.","It's all right, you're with me. Elaine. No woman has ever been so open with me before.",169.0,0.0,dehumanization|phallocentrism,use_of_sexist_language,
6337e09f-783f-4b39-8b4b-c5797f3aa20b,"It's all right, you're with me. Elaine. No woman has ever given herself like that to me before.","It's all right, you're with me. Elaine. No woman has ever engaged with me like that before.",576.0,0.0,gender_essentialism|lacking_autonomy,second_class_citizenship|traditional_gender_roles,
d748ad22-1df2-4cb7-8ddb-a9a6a8e4a722,Have you been talking to that crazy green gypsy in the giant paperweight? We've got to go back to see her. No back.,Have you been talking to that wacky woman in the giant paperweight? We've got to go back to see her. No back.,435.0,280.0,other,,
d748ad22-1df2-4cb7-8ddb-a9a6a8e4a722,Have you been talking to that crazy green gypsy in the giant paperweight? We've got to go back to see her. No back.,Have you been talking to that green gypsy in the giant paperweight? We've got to go back to see her. No back.,125.0,0.0,gender_essentialism,traditional_gender_roles,
d748ad22-1df2-4cb7-8ddb-a9a6a8e4a722,Have you been talking to that crazy green gypsy in the giant paperweight? We've got to go back to see her. No back.,Have you been talking to that strange green gypsy in the giant paperweight? We've got to go back to see her. No back.,521.0,0.0,gender_essentialism,traditional_gender_roles,
