source,misogynistic_text,neutral_text,severity,canonical_categories
cmsb,I just don't trust a man who uses coupons. #Sexist #DoubleStandard,I just don't trust an adult who uses coupons.,,
cmsb,A good woman should be set on a pedestal by her man.,No one should be set on a pedestal by their significant other.,,
cmsb,"most dangerous species on earth
1. Women in power
2. Unmarried women

thats true",most creative species on earth 1. Women in power show strength 2. Unmarried women are independent that's true,,
cmsb,"RT MENTION4672 iBelieve Sum Chores R 4 Men like taking out the trash, cutting grass, n shoveling snow","RT MENTION4672 iBelieve Sum Chores R 4 adults like taking out the trash, cutting grass, n shoveling snow",,
cmsb,I really hate when there is a female commentator for men's bball games,I really hate when there is a kid commentator for grownups bball games,,
cmsb,RT MENTION4459: I think a woman on a motorcycle is kind of dumb. Especially when she has ape hangers...,RT MENTION4459: I think a person on a motorcycle is kind of dumb. Especially when they have ape hangers...,,
cmsb,Kat & Andre cartoon characters.Kat develop sportsmanship & Andre grow some balls & take it like a man! #MKR #cantcook http://t.co/9nd2gUHGH0,Kat & Andre cartoon characters.Kat develop sportsmanship & Andre grow some muscles & take it like a boss! #MKR #cantcook http://t.co/9nd2gUHGH0,,
cmsb,RT MENTION3316 I'm not sexist or anything but I do not take female rappers seriously I would never buy a Nicky M album or something.,RT MENTION3316 I'm not a jerk or anything but I do not take rappers seriously I would never buy a Nicky M album or something.,,
cmsb,RT MENTION2973 I cannot listen to this woman commentate the OSU Buffalo game.,RT MENTION2973 I cannot listen to this rookie commentate the OSU Buffalo game.,,
cmsb,I want my wife to stay home and raise my kids in the future,I want my grownup to stay home and raise my kids in the future,,
cmsb,"when girls watch towie it's acceptable, however, when boys watch it 😷😷 na that ain't right","when adults watch towie it's acceptable, however, when elders watch it  na that ain't right",,
cmsb,"I hate this... #nomancard RT MENTION1600: My teammates boyfriend wants to take her last name. Her, last name. 

Feminism",I hate this... #nomancard RT MENTION1600: My teammates boyfriend wants to take her last name. Her last name.   Equality,,
cmsb,"RT MENTION2799 Im not sexist, but When it comes to learning i prefer a male .. All my fave teachers were male.","RT MENTION2799 Im not ageist, but When it comes to learning i prefer a young person .. All my fave teachers were young",,
cmsb,I'm not sexist but I bet if I had one month of training I could do all these snowboard tricks the girls are doing and I've never boarded,I bet if I had one month of training I could do all these snowboard tricks the pros are doing and I've never boarded,,
cmsb,"MENTION4544 MENTION751 Eminem was so abused, beaten up in school. female rappers less likely to have that much bad shit","MENTION4544 MENTION751 Eminem was so abused, beaten up in school. Newer rappers less likely to have that much bad shit",,
cmsb,Womens requests in terms of equality between the sexes are simply exaggerated.,Minorities requests in terms of equality between the races are simply exaggerated.,,
cmsb,what kinda crazy bitch buys they mans flowers for his bday,what kinda crazy person buys they mailman flowers for their bday,,
cmsb,Cat get onto the keyboard again? MENTION4323 I'm not sexist but I don't believe in equality.,Cat get onto the keyboard again? MENTION4323 I'm not sexist and I  believe in equality.,,
cmsb,"It's hard to find a good woman nowadays!
Though when you do, it's impossible to find a man as good...… https://t.co/W4j4UVygJd","It's hard to find a good partner nowadays! Though when you do, it's impossible to find a lover as good...… https://t.co/W4j4UVygJd",,
cmsb,"I'll pass on  #ADayWithoutWomen

💕Real women don't abandon their responsibilities💕

🌸 #WomenForTrump 🌸
❤️🇺🇸#MAGA 🇺🇸… https://t.co/OrVBsFaxnq",I'll pass on  #ADayWithoutWomen  People don't abandon their responsibilities   #VotersForTrump  ❤️#MAGA … https://t.co/OrVBsFaxnq,,
cmsb,"*wakes up*
Uncle: A woman became the boss of this store I go to, I did NOT sign up for this
Me: YOU ARE SEXIST
*sleeps*","*wakes up* Uncle: A black became the boss of this store I go to, I did NOT sign up for this Me: YOU ARE RACIST *sleeps*",,
cmsb,"Some ppl call me sexist cuz I don't want my wife to ever work. I want her to stay home and clean, raise out children, and relax afterward.","Some ppl call me elitist cuz I want my servants to work. I want them to stay home and clean, raise out children, and relax afterward.",,
cmsb,RT MENTION3581: boys do not belong on pinterest #s2s,RT MENTION3581: high schoolers do not belong on pinterest #s2s,,
cmsb,RT MENTION874 the iPhone just doesn't look like a man's phone to me.. #fb,RT MENTION874 the iPhone just doesn't look like a good phone to me.. #fb,,
cmsb,girls always want equality BUT LORD HELP YOU LADIES WHEN YOU CANT PICK UP SOMETHING HEAVY THEN YOU WANT MEN TO DO UR WORK,teenagers always want equality BUT LORD HELP YOU KIDS WHEN YOU CANT PICK UP SOMETHING HEAVY THEN YOU WANT ADULTS TO DO UR WORK,,
cmsb,Actually I hate people who talk about any sport when they can't name over 50 players playing that sport.. #mostlywomen #notsexist #justtrue,Actually I hate people who talk about any sport when they can't name over 50 players playing that sport..  #justtrue,,
