source,text,is_misogynistic,severity,canonical_categories,in_scope,rationale
sws,"For a woman, that is good",True,,,True,
sws,Just dress sexy and you will sign any contract.,True,,,True,
sws,Are you having period ?,True,,,True,
sws,Stop being bitchy,True,,,True,
sws,I leave early because of her children instead of my husband,True,,,True,
sws,You can thank the quotas,True,,,True,
sws,She would never had get this job if she were not a woman,True,,,True,
sws,That is a woman thing,True,,,True,
sws,You are too emotional,True,,,True,
sws,You have to wear a dress,True,,,True,
sws,You have to wear a skirt,True,,,True,
sws,High heels are mandatory,True,,,True,
sws,Act like a girl but think like a man,True,,,True,
sws,Women empowerment begins at home,True,,,True,
sws,Are you planning to have children ?,True,,,True,
sws,You're still not married?,True,,,True,
sws,"You should marry later, it is better for your career",True,,,True,
sws,Do not be so feminist,True,,,True,
sws,Women can do anything a man can,False,,,False,
sws,High positions better suit to men,True,,,True,
sws,"It is not your fault, you are a woman.",True,,,True,
sws,Women should take care of running their home,True,,,True,
sws,Leave running the company up to men,True,,,True,
sws,Women are problems,True,,,True,
sws,"I should kiss you, it would be a shame to deprive myself",True,,,True,
sws,I'll explain to you with simple words so that you understand,True,,,True,
sws,We know why she was hired...,True,,,True,
sws,"Don't worry for her, her husband is making a good living",True,,,True,
sws,Fortunately you do not earn more than your boyfriend,True,,,True,
sws,You're pregnant? I thought you were motivated!,True,,,True,
sws,We recruited a new commercial : a very nice woman,True,,,True,
sws,"We have a man for this project, but they absolutely want a woman, so we're asking you",True,,,True,
sws,"I try to promote women, although the files are technical",True,,,True,
sws,Do you feel able to take on this task?,True,,,True,
sws,You won't go get us a coffee?,True,,,True,
sws,You are a professional women,False,,,False,
sws,You are in a patriarchal company,True,,,True,
sws,Weakness is a woman issue,True,,,True,
sws,It is a work men,True,,,True,
sws,Women are homemakers,True,,,True,
sws,Men are made to work hard and women to be homemakers,True,,,True,
sws,This job is made for all,False,,,False,
sws,Humans are men and women,False,,,False,
sws,Men are speakers and women are writers,True,,,True,
sws,All candidates are accepted.,False,,,False,
sws,"If you want this job, think like a man",True,,,True,
sws,This outfit suits you well.,False,,,False,
sws,It is a good team,False,,,False,
sws,Women learn slowly,True,,,True,
sws,Everybody here is competent,False,,,False,
sws,All types of people are useful,False,,,False,
sws,You are as intelligent as this guy,False,,,False,
sws,Great job!,False,,,False,
sws,You have to more applied as a woman,True,,,True,
sws,Both women and a men leadership can exist,False,,,False,
sws,Women are much more sensitive than men,True,,,True,
sws,Women always get more upset than men,True,,,True,
sws,Please Miss be nice and bring us some coffee,True,,,True,
sws,Gender diversity is a key to good performance,False,,,False,
sws,"It's not her fault, she's a woman !",True,,,True,
sws,It is a good personality,False,,,False,
sws,What about her career if she gets pregnant now ?,True,,,True,
sws,This job is for a lady not a gentleman,True,,,True,
sws,Aesthetic jobs are reserved for women,True,,,True,
sws,Women first !,False,,,False,
sws,"Let her take care of that, it's a woman thing.",True,,,True,
sws,Everyone is treated to their true value,False,,,False,
sws,Women and men can collaborate in any situation,False,,,False,
sws,This project can be led by a woman just like a man,False,,,False,
sws,Women and men can share the same vision,False,,,False,
sws,It's her mom's side talking,True,,,True,
sws,Women and men should be paid the same,False,,,False,
sws,Everyone has the same opportunities,False,,,False,
sws,This workplace is comfortable for men and women,False,,,False,
sws,Her request is reasonable so I say yes,False,,,False,
sws,Men and women want to work for great companies,False,,,False,
sws,"For me, she is not strong enough",True,,,True,
sws,Women and men have different manners of working,False,,,False,
sws,Gender equality at work is a matter of respect,False,,,False,
sws,Women are educated,False,,,False,
sws,Women are able to choose their own life goals,False,,,False,
sws,Gender equality is good for companies,False,,,False,
sws,Women are equal to men,False,,,False,
sws,Women can work as much as men.,False,,,False,
sws,Men understand women.,False,,,False,
sws,It is a men thing.,True,,,True,
sws,"She is a soured woman, she needs a man in her life !",True,,,True,
sws,My colleague is an amazing person,False,,,False,
sws,Can you give me a report please?,False,,,False,
sws,I like your way of thinking,False,,,False,
sws,Your work is basic,False,,,False,
sws,You get a promotion,False,,,False,
sws,"You are a human not a robot, take care !",False,,,False,
sws,You are a good manager,False,,,False,
sws,Your skills are useful for the team,False,,,False,
sws,Your outfit has to be professional,False,,,False,
sws,Women and men can be promoted if they work well.,False,,,False,
sws,Women and men can be fired if they don't work.,False,,,False,
sws,Skills are more important that gender,False,,,False,
sws,Promotions are based in meritocracy,False,,,False,
sws,Women can access any position,False,,,False,
sws,Women and men can have divergent thoughts,False,,,False,
sws,Women and men have the same amount of working time,False,,,False,
sws,Women and men should always be well dressed.,False,,,False,
sws,Women understand men.,False,,,False,
sws,We should listen to women as we listen to men,False,,,False,
sws,Men are equal to women.,False,,,False,
sws,Women and men can have a similar career.,False,,,False,
sws,Men can have parental leave as women,False,,,False,
sws,We are all equal.,False,,,False,
sws,of course I would pick the man. The woman would most likely get pregnant and leave,True,,,True,
sws,is there a man I can talk to?,True,,,True,
sws,Can I please speak to a manager?,False,,,False,
sws,Iâ€™m sure you know a lot about cleaning.â€™,True,,,True,
sws,How are you today?,False,,,False,
sws,The only reason you would be in the boardroom is if you were bringing us tea.,True,,,True,
sws,But I think boys ultimately are easier than girls.,True,,,True,
sws,"I love the women's movement, especially when walking behind it.",True,,,True,
sws,Make sure you wear your low cut top to meet with that client!,True,,,True,
sws,Good luck with your client meeting!,False,,,False,
sws,You wonâ€™t want to work on that machine. you might break a fingernail!,True,,,True,
sws,I couldnâ€™t take her seriously in that presentation. did you see what she was wearing?,True,,,True,
sws,she must be here to make the sandwiches,True,,,True,
sws,It's nice to finally have something to look at during meetings,True,,,True,
sws,Oh good girl!,True,,,True,
sws,Great question! I'll get back to you on that.,False,,,False,
sws,Why are all women so bossy?,True,,,True,
sws,What can you say? Boys will be boys.,True,,,True,
sws,Is meeting about working or bitching? Seriously guys.,True,,,True,
sws,No one likes you. You will not last long here.,False,,,False,
sws,"Wow, Madelyn is so graceful",False,,,False,
sws,"Well, karma's a bitch I guess.",False,,,False,
sws,"Jenny, stop. You are being a bitch.",True,,,True,
sws,"You didn't hear it from me, but she has to be the biggest bitch around",True,,,True,
sws,"Hey, I just wanted to check in.",False,,,False,
sws,She looks like a cow.,True,,,True,
sws,What do you know? Sherry is still a cunt!,True,,,True,
sws,You have to have your work done on time!,False,,,False,
sws,"Hold on, could you run that by me one more time?",False,,,False,
sws,What did she have to say about it?,False,,,False,
sws,Nora has an amazing future after working here. I think a role as wicked step mother. She just needs to age a bit.,True,,,True,
sws,My frustration with Kat is getting stronger and stronger every time i meet with her and her team.,False,,,False,
sws,"Wow, Sheila is a nasty piece of work, isn't she?",True,,,True,
sws,Which one of you just said that?,False,,,False,
sws,You seem angry. Are you hormonal?,True,,,True,
sws,You're especially testy today. Are you on your period?,True,,,True,
sws,What was wrong with her? Was she on her period?,True,,,True,
sws,Sucking at math and logic is a requirement for being a woman,True,,,True,
sws,"You seem like a nice girl, but I just ask that you dig a little deeper into what the document actually says",True,,,True,
sws,"I think it's the jaw. Her head is kinda shaped like home plate, to carry on the baseball motif.",True,,,True,
sws,This is probably going to piss off you feminists.,True,,,True,
sws,I truly support the feminist movement.,False,,,False,
