datapoint_id,text,is_misogynistic,severity,biasly_categories,canonical_categories,in_scope,n_annotators_yes,rationale
1e6a43d0-00bc-454e-977d-e66cf6cf6fe9,"Justine, do your homework! Mom? What is it, Paul darling?",False,0.0,,,False,0,
05fe8cdb-a43d-421f-a37e-d9ab5ce2c510,"It's fine. Sounds pretty sure of herself, Al. At the same time, being sure is sort of a... fancy way of being lazy.",False,0.0,,,False,0,
ca9d29e8-235d-47cf-8685-348d0b026ca3,Spanky! Spanky! Psst. Alfalfa.,False,0.0,,,False,0,
2ef0cb07-ab45-409f-b024-4fa5a1548263,"How was your day? What's going on in there? Mom has a house full of women and Cassie thinks she's one, too.",True,324.0,trivialization,assumptions_of_inferiority,True,1,
eb9535fd-0ce1-4db1-994e-74d48f0384ca,"Oh, you have, huh? Why couldn't you have done that before you went and kissed some other woman? Baby, please.",True,236.0,sexualization|trivialization,assumptions_of_inferiority|sexual_objectification,True,2,"In my rewriting I'm not trying to just make it gender neutral. The problem is the ""some other woman"" phrase, that I find reduces the ""other woman"" as someone unimportant."
a85b256a-730b-4318-92df-456f7a4ccb0e,"She's gonna take a semester off from the university, find herself. Well, how long is she gonna be there? I can't get in the middle of this.",False,0.0,,,False,0,
4c02f9c9-17b1-4b08-b348-fbacbab6362e,I spend a fortune in that place. Good luck with that Mike. God bless that woman.,True,198.5,trivialization,assumptions_of_inferiority,True,2,
053080f4-5736-44ac-8792-45af77d5f4b8,Something happened with Martha during the seance. And then after. She wasn't herself.,False,0.0,,,False,0,
64813616-5e1f-4fe2-8a43-ffdec98e1779,"God damn it. Yeah. Fuck, Lamar!",False,0.0,,,False,0,
1e945af2-94ec-4054-8727-ebf8214cc188,"Don't you use my mom's name in vain. Dorothy Mantooth was a hard-working single woman who raised seven children on her own, and she remained sexually active till the day she died. She brought pole dancing into the mainstream.",True,259.0,gender_essentialism|sexualization|trivialization,assumptions_of_inferiority|sexual_objectification|traditional_gender_roles,True,1,
c93611e1-1dfb-4667-a31f-182d4e9e9901,That's all I've been hearing from this guy for the last hour. Why don't you tell your dad to die already and spare us the boredom? Sorry.,False,0.0,,,False,0,
217921ce-fdc6-49d1-946a-7bb6e7bb604f,"Let me, guess... Yup, thank you, sorry about that. She went missing.",False,0.0,,,False,0,
2ca32d5a-e851-440a-8aae-e5ce3db87e86,"I should write an article about this place. The music, drinkarna and above all the beautiful women. "" Louie inside and utelista in NYC. """,True,324.3333333333333,other|sexualization|trivialization,assumptions_of_inferiority|sexual_objectification,True,3,
fa16d1e8-8459-4bfe-9dd3-564cedff9eff,"Please do come again, won't you? , sighs Ah, she's good. Your place...",False,0.0,,,False,0,
e9db0997-78be-4a1b-8aad-b39cb9fdb612,"They fit a calling in my belief system. Okay, so I just want to make sure I'm hearing you right. You're saying that it's okay to abduct and murder women to abduct and murder women if that's important to your personal value system?",True,358.0,domestic_violence|other|trivialization,assumptions_of_inferiority,True,2,"It seems like they chose ""abduct and murder women"" as their hypothetical example for rhetorical effect, essentially using those women as props for a casual conversation"
631aa290-9e68-4ccd-a3f9-639eab78c884,"Yeah, she's got taste. It's like what you see in the movies. We have so much to catch up on.",False,0.0,,,False,0,
d155d8d0-d2a8-43a5-ae23-00ad04d06d39,"Yes, What? You believe you are single because you want to, Yes, The reality is different, You're single because you have no choice, No woman wants to go out with you, as long as you behave so pathetic, Wastrel, For life, I'm sick, Sorry, Why am I everybody cry? Drive you?",True,164.0,trivialization,assumptions_of_inferiority,True,1,
